"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","HDSD","HTDD","PRCP","TAVG","TMAX","TMIN"
"IDM00096645","ISKANDAR, ID","2022-04",,"452","0","0","0","29","23","70","96",,"0",,"82.4","90.9","73.8"
"IDM00096645","ISKANDAR, ID","2022-05",,,,,"0","30","25",,"96",,,,,"91.9",
"IDM00096645","ISKANDAR, ID","2022-06",,,,,"0","30","17",,"93",,,,,"90.0",
"IDM00096645","ISKANDAR, ID","2022-07",,,"0","0","0","30","11","71","94",,,,"81.4","89.1","73.6"
"IDM00096645","ISKANDAR, ID","2022-08",,,,,"0","30","14",,"93",,,,,"89.2",
"IDM00096645","ISKANDAR, ID","2022-09",,"400","0","0","0","30","16","71","92",,"0",,"81.1","88.8","73.5"
"IDM00096645","ISKANDAR, ID","2022-10",,,,,"0","30","13",,"93",,,,,"89.1",
"ID000097686","WAMENA, ID","2022-03",,,"0","0","0","26","0","55","84",,,,"69.7","79.6","59.8"
"ID000097686","WAMENA, ID","2022-04",,,,,"0","28","0",,"84",,,,,"79.2",
"ID000097686","WAMENA, ID","2022-05",,,,,"0","28","0",,"84",,,,,"79.7",
"ID000097686","WAMENA, ID","2022-06",,,,,"0","30","0",,"81",,,,,"79.2",
"ID000097686","WAMENA, ID","2022-07","111","111","0","0","0","31","0","54","83",,"0",,"68.9","78.1","59.8"
"ID000097686","WAMENA, ID","2022-08",,,,,"0","30","0",,"82",,,,,"78.9",
"ID000097686","WAMENA, ID","2022-09",,,,,"0","29","0",,"84",,,,,"79.8",
"ID000097686","WAMENA, ID","2022-10",,,,,"0","25","0",,"85",,,,,"80.7",
"IDM00096607","TEMINDUNG, ID","2022-01","3499","548","0","0","0","31","18","70","93","0","0",,"82.7","89.9","75.5"
"IDM00096607","TEMINDUNG, ID","2022-02","3998","499","0","0","0","28","17","73","95","0","0",,"82.8","89.9","75.8"
"IDM00096607","TEMINDUNG, ID","2022-03","4496","498","0","0","0","30","20","72","95","0","0",,"82.7","90.1","75.3"
"IDM00096607","TEMINDUNG, ID","2022-04","5002","507","0","0","0","29","21","73","95","0","0",,"83.7","91.1","76.3"
"IDM00096607","TEMINDUNG, ID","2022-05","5516","513","0","0","0","29","18","73","94","0","0",,"83.9","90.7","77.2"
"IDM00096607","TEMINDUNG, ID","2022-06","6045","529","0","0","0","30","19","73","95","0","0",,"83.3","90.4","76.2"
"IDM00096607","TEMINDUNG, ID","2022-07","539","539","0","0","0","31","15","74","94","0","0",,"82.9","89.2","76.6"
"IDM00096607","TEMINDUNG, ID","2022-08","1094","555","0","0","0","31","13","73","94","0","0",,"82.9","89.4","76.4"
"IDM00096607","TEMINDUNG, ID","2022-09","1618","524","0","0","0","30","19","74","95","0","0",,"83.1","90.3","76.0"
"IDM00096607","TEMINDUNG, ID","2022-10",,,,,"0","27","20",,"94",,,,,"90.6",
"IDM00096171","JAPURA, ID","2022-01",,"455","0","0","0","31","20","72","94","0","0",,"81.7","89.9","73.5"
"IDM00096171","JAPURA, ID","2022-02",,,"0","0","0","26","18","71","94",,,,"81.6","90.0","73.1"
"IDM00096171","JAPURA, ID","2022-03",,,,,"0","31","25",,"96",,,,,"92.2",
"IDM00096171","JAPURA, ID","2022-04",,,,,"0","29","20",,"95",,,,,"91.0",
